제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
선셋 대로,Sunset Boulevard,(1950),,"[('Naver Store', ['₩500'])]","['91%', '8.4 (212k)']",['드라마'],['1시간 50분'],['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum', 'Larry J. Blake', 'Charles Dayton', 'Cecil B. DeMille', 'Hedda Hopper', 'Buster Keaton', 'Anna Q. Nilsson', 'H.B. Warner', 'Ray Evans', 'Jay Livingston', 'Fred Aldrich', 'Joel Allen', 'Gertrude Astor', 'Anne Bauchens', 'Edward Biby', 'Danny Borzage', 'Ken Christy', 'Ruth Clifford', 'Archie R. Dalzell', 'Eddie Dew', 'Julia Faye', 'Al Ferguson', 'Gerry Ganzer', 'Rudy Germane', 'Kenneth Gibson', 'Creighton Hale', 'Chuck Hamilton', 'Len Hendry', 'E. Mason Hopper', 'Stan Johnson', 'Tiny Jones', 'Howard Joslin', 'Arthur Lane', 'Perc Launders', 'William Meader', 'Gertrude Messinger', 'Harold Miller', 'Howard Negley', 'John ""Skins"" Miller', 'Lee Miller', 'Ralph Montgomery', 'Bert Moorhouse', 'Jay Morley', 'Eva Novak', ""Frank O'Connor"", ""Robert Emmett O'Connor"", 'Jack Perrin', 'Sidney Skolsky', 'Emmett Smith', 'Archie Twitchell', 'Yvette Vickers', 'Edward Wahrman', 'Henry Wilcoxon', 'Peter Drynan', 'Sanford E. Greenwald', 'Alan Marston', 'Bernice Mosk', 'Virginia L. Randolph', 'Bill Sheehan', 'Roy Thompson', 'Jack Warden']",캘리포니아주 로스앤젤레스의 선셋 대로에 위치한 대저택에서 살인사건이 발생한다. 유명 여배우의 풀장에서 한 시나리오 작가가 총에 맞은 채 죽어서 발견된 것이다. 경찰이 출동한 가운데 세상 사람들은 이 사건에 눈과 귀를 기울인다.,https://images.justwatch.com/poster/176664249/s276/sunset-boulevard.webp,
닌자 거북이,Teenage Mutant Ninja Turtles,(1990),"[('wavve', ['정액제', 'HD'])]",,"['74%', '6.8 (89k)']","['SF , 액션 , 코미디 , 가족']",['1시간 33분'],['Steve Barron'],"['Judith Hoag', 'Elias Koteas', 'Josh Pais', 'David Forman', 'Brian Tochi', 'Leif Tilden', 'Corey Feldman', 'Michelan Sisti', 'Robbie Rist', 'Kevin Clash', 'James Saito', 'David McCharen', 'Toshishiro Obata', 'Michael McConnohie', 'Michael Turney', 'Raymond Serra', 'Sam Rockwell', 'Kenn Scott', 'Kevin Eastman', 'Skeet Ulrich', 'Scott Wolf']","부모를 잃은 4마리의 거북이들과 늙은 쥐 한 마리가 하수구로 흘러들어온 방사능 물질로 인해 사람의 형태와 지능을 갖게된다. 순진하고 재치있는 레오나르도, 미켈란젤로, 도나텔로, 라파엘로로 구성된 4마리의 거북이들은 하수구에 숨어 살며 뉴욕시의 평화를 위해 고군분투한다. 한편 뉴욕에서 벌어지는 소리 없는 범죄를 보도하는 기자 에이프릴은 이 범죄의 피해자가 될 뻔 하였지만 닌자거북이들의 도움으로 위기를 탈출한다. 그들이 사람처럼 변한 이유와 그동안 하수구에 숨어 살아온 이야기를 나누며 에이프릴과 닌자거북이들은 급속도로 가까운 친구사이가 된다. 한편 그녀를 주시하던 소리 없는 범죄 조직 더풋은 그녀의 아파트로 총공격을 개시하는데…",https://images.justwatch.com/poster/32495747/s276/teenage-mutant-ninja-turtles-1990.webp,"[('wavve', ['₩2,750', 'HD']), ('Naver Store', ['₩2,750', 'HD'])]"
플래툰,Platoon,(1986),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]",,"['86%', '8.1 (397k)']","['전쟁 , 액션 , 드라마']",['2시간 0분'],['Oliver Stone'],"['Charlie Sheen', 'Willem Dafoe', 'Johnny Depp', 'Forest Whitaker', 'Tom Berenger', 'Keith David', 'Francesco Quinn', 'Kevin Dillon', 'John C. McGinley', 'Reggie Johnson', 'Mark Moses', 'Corey Glover', 'Chris Pedersen', 'Bob Orwig', 'Corkey Ford', 'David Neidorf', 'Richard Edson', 'Tony Todd', 'Kevin Eshelman', 'James Terry McIlvain', 'J. Adam Glover', 'Ivan Kane', 'Paul Sanchez', 'Dale Dye', 'Peter Hicks', 'Basile Achara', 'Steve Barredo', 'Chris Castillejo', 'Andrew B. Clark', 'Than Rogers', 'Li Thi Van', 'Clarisa Ortacio', 'Romy Sevilla', 'Matthew Westfall', 'Nick Nicholson', 'Warren McLean', 'Li Mai Thao', 'Ron Barracks', 'H. Gordon Boos', ""Robert 'Rock' Galotti"", 'Oliver Stone', 'Brad Cassini', 'Mark Ebenhoch']","크리스 타일러(찰리 쉰)는 대학 생활의 권태로움에서 벗어나 영웅의 모습을 꿈꾸며 자원 입대해 월남전에 참가한다. 그러나 전쟁의 참혹함과 인간의 양면성, 전우들 사이의 갈등을 목격을 목격하고 정신적 충격을 받는다. 동료들이 죽어가는 현실 속에서 반즈 중사(톰 베린저)와 일라이어스 분대장(웰렘 데포)은 반목하게 되고, 이것을 이유로 반즈 중사는 일라이어스를 베트콩 지역에서 참혹하게 죽도록 놔둔다. 크리스는 직접 보지는 못했지만 반즈의 짓임을 알고, 킹(케이스 데이빗), 프랜시스(코리 글로버) 등과 반즈의 처치 여부를 놓고 의논하는 것을 반즈가 엿듣는데...",https://images.justwatch.com/poster/12648971/s276/peulraetun.webp,
마이 걸,My Girl,(1991),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩5,000', 'HD']), ('wavve', ['₩5,500', 'HD'])]","['78%', '6.9 (76k)']","['코미디 , 드라마 , 가족 , 로맨스 , Made in Europe']",['1시간 43분'],['Howard Zieff'],"['Anna Chlumsky', 'Macaulay Culkin', 'Dan Aykroyd', 'Jamie Lee Curtis', 'Richard Masur', 'Griffin Dunne', 'Ann Nelson', 'Peter Michael Goetz', 'Jane Hallaren', 'Anthony R. Jones', 'Tom Villard', 'Lara Steinick', 'Kristian Truelsen', 'David Caprita', 'Jody Wilson', 'Linda Perri', 'Nancy L. Chlumsky', 'Glenda Chism', 'Bill Cordell', 'Ray Buktenica', 'Shane Obedzinski']","장의사인 아빠 해리와 삼촌 필, 정신이 혼미한 할머니와 함께 살고 있는 베이다는 늘 외롭다. 베이다에게 친구는 어리숙하고 수줍은 토마스 뿐, 아빠 해리는 베이다의 출산으로 아내를 잃은 후 가족들에게 조차 감정적으로 격리된 채 어린 딸이 소녀로 성장해가는 과정을 느끼지 못한다. 사춘기에 접어든 베이다는 국어선생님에 연정을 품기도 하는데, 이런 베이다에게 또다른 일이 생긴다. 아빠 해리가 미용사 셀리에게 관심을 보이기 시작한 것. 베이다는 셀리에게 질투를 느끼고 아빠를 잃은 것 같은 마음에 외로움은 점점 더해 간다. 게다가 토마스 마저 벌에 쏘여 알레르기로 죽자 베이다는 큰 충격을 받는다. 그제서야 해리는 엄마를 잃은 어린 소녀에게 아빠의 사랑이 얼마나 필요했던가를 깨닫고, 그간의 오해를 이해시킨다.",https://images.justwatch.com/poster/209640235/s276/my-girl.webp,"[('wavve', ['₩1,300', 'HD']), ('Naver Store', ['₩1,300', 'HD'])]"
로마의 휴일,Roman Holiday,(1953),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩3,000', 'HD']), ('wavve', ['₩5,500', 'HD'])]","['86%', '8.0 (133k)']","['로맨스 , 코미디']",['1시간 59분'],['William Wyler'],"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power', 'Harcourt Williams', 'Margaret Rawlings', 'Tullio Carminati', 'Paolo Carlini', 'Claudio Ermelli', 'Paola Borboni', 'Alfredo Rizzo', 'Laura Solari', 'Gorella Gori', 'Armando Annuale', 'Maurizio Arena', 'Gildo Bocci', 'Andrea Esterhazy', 'George Higgins', 'Richard McNamara', 'Luigi Moneta', 'Piero Pastore', 'Mimmo Poli', 'Giuliano Raffaelli', 'Carlo Rizzo', 'Gianna Segale', 'Dianora Veiga', 'Marco Tulli', 'Tania Weber', 'Catherine Wyler']","앤 공주(오드리 헵번)는 왕실의 제약과 정해진 스케줄에 싫증이 나자 로마를 여행하던 중 왕실을 몰래 빠져 나간다. 한 신사의 도움으로 서민의 생활을 즐기는 앤. 그러나 그 신사는 특종을 찾아다니는 신문기자였고 특종을 잡기 위해 앤 공주와 로마의 거리를 다니며 여러가지 해프닝을 겪는다. 이 사실을 모르는 앤 공주는 친절한 그에게 정이 들기 시작하고, 단지 특종만을 위해서 그녀와 함께 했던 기자 죠(그레고리 펙) 역시 순수한 앤 공주에게 끌리기 시작한다. 드디어 앤은 궁전으로 다시 돌아가고 죠가 신문기자였던 것을 알게 된 앤은 그에게 실망한다. 그러나 죠는 앤 공주의 사진을 기사로 쓰지 않고 그녀에게 선물이라며 전해주는데...",https://images.justwatch.com/poster/183499984/s276/roman-holiday.webp,"[('wavve', ['₩1,500', 'HD']), ('Naver Store', ['₩1,500', 'HD'])]"
이웃집 토토로,となりのトトロ,(1988),"[('Netflix', ['정액제', 'HD'])]",,"['90%', '8.2 (316k)']","['판타지 , 애니메이션 , 코미디 , 가족']",['1시간 26분'],['Hayao Miyazaki'],"['Noriko Hidaka', 'Hitoshi Takagi', 'Chika Sakamoto', 'Shigesato Itoi', 'Sumi Shimamoto', 'Tanie Kitabayashi', 'Masashi Hirose', 'Yûko Maruyama', 'Shigeru Chiba', 'Toshiyuki Amagasa']","1955년 일본의 아름다운 시골 마을, 상냥하고 의젓한 11살 사츠키와 장난꾸러기에 호기심 많은 4살의 메이 는 사이좋은 자매로 아빠와 함께 도시를 떠나 시골로 이사온다. 자상한 아빠 쿠사카베타츠오는 도쿄에서 대학 연구원이며, 입원 중이지만 따뜻한 미소를 잃지 않는 엄마가 있다. 곧 퇴원하실 엄마를 공기가 맑은 곳에서 맞이하기 위해서다. 숲 한복판에 금방이라도 쓰러질 것처럼 낡은 집을 보며 자매는 새로운 환경에 대한 호기심으로 잔뜩 들뜬다. 그러던 어느 날 사츠키가 학교에 간 동안 메이는 숲에서 정령을 만나다. 메이는 그 정령에게 토토로란 이름을 붙여주는데...",https://images.justwatch.com/poster/126545566/s276/iusjib-totoro.webp,
메리 포핀스,Mary Poppins,(1964),"[('Disney Plus', ['정액제', 'HD'])]","[('Naver Store', ['₩5,500', 'HD'])]","['85%', '7.8 (165k)']","['판타지 , 코미디 , 가족']",['2시간 14분'],['Robert Stevenson'],"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson', 'Glynis Johns', 'Hermione Baddeley', 'Karen Dotrice', 'Matthew Garber', 'Elsa Lanchester', 'Arthur Treacher', 'Reginald Owen', 'Ed Wynn', 'Reta Shaw', 'Don Barclay', 'Marjorie Bennett', 'Arthur Malet', 'Jane Darwell', 'Marjorie Eaton', 'James Logan', 'Alma Lawton', 'Betty Lou Gerson', 'Kay E. Kuter', 'Doris Lloyd', 'Larri Thomas', 'Queenie Leonard', 'Marc Breaux', 'Daws Butler', 'Peter Ellenshaw', 'Paul Frees', 'Bill Lee', 'Sean McClory', 'Dal McKennon', 'Alan Napier', 'Marni Nixon', ""J. Pat O'Malley"", 'George Pelling', 'Thurl Ravenscroft', 'Richard M. Sherman', 'Robert B. Sherman', 'Ginny Tyler', 'Bert Stevens', 'Frank Baker', 'Walter Bacon', 'Robert Banas', 'Rudy Bowman', 'Roy Butler', 'Cyril Delevanti', 'George DeNormand', 'Harvey Evans', 'Clive Halliday', 'Richard LaMarr', 'Rae Sunshine Lee', 'Lester Matthews', 'Mathew McCue', 'Hans Moebus', 'King Mojave', ""Gene O'Donnell"", 'Hal Taggart', 'Dian Van Patten', 'Robert B. Williams', 'Sam Harris']","영국 런던의 브리티쉬 뱅크에 다니고 있는 조지 뱅크스, 여성 참정권을 주장하고 다니는 그의 아내 위니프레드 뱅크스, 그리고 매번 유모들을 쫓아내다시피 하는 말썽꾸러기 아이들 제인과 마이클. 그 날도 아이들은 유모 몰래 사라져 버리고 유모는 더 이상 못 참겠다며 가방을 싸들고 집을 나선다. 집으로 돌아오던 뱅크스 부인은 유모를 말려보지만 소용이 없다. 결국 유모는 뱅크스댁을 떠나게 되고, 그제서야 아이들이 돌아온다. 뱅크스씨는 신문에 유모를 구한다는 기사를 내려하고, 아이들은 자신들이 원하는 유모의 조건을 적어가지고 온다. 붉은 뺨을 하고 있어야 하고, 재미있는 놀이를 많이 알고 있는 유모를 원한다는 것이다. 그러나 뱅크스씨는 이 종이를 찢어버린다.",https://images.justwatch.com/poster/248734641/s276/meri-popinseu.webp,
공포의 묘지,Pet Sematary,(1989),,"[('wavve', ['₩5,500', 'HD'])]","['73%', '6.6 (99k)']","['공포 , 스릴러 , 판타지']",['1시간 43분'],['Mary Lambert'],"['Dale Midkiff', 'Fred Gwynne', 'Denise Crosby', 'Brad Greenquist', 'Kavi Raz', 'Michael Lombard', 'Miko Hughes', 'Blaze Berdahl', 'Susan Blommaert', 'Mara Clark', 'Mary Louise Wilson', 'Andrew Hubatsek', 'Liz Davies', 'Kara Dalke', 'Stephen King', 'Elizabeth Ureneck', 'Chuck Courtney', 'Peter Stader']","거대한 트럭들만이 무서운 속도로 지나 다니는 한적한 도로변. 이 외딴 곳에 루이스(Louis Creed: 데일 미드키프 분) 일가가 이사오면서부터 공포는 시작된다. 짐을 풀기도 전에 딸 앨리(Ellie Creed: 브라이즈 버달 분)는 집 앞 그네에서 떨어지고, 아들 게이지(Gage Creed: 미코 휴스 분)는 트럭에 치일 뻔하며, 집 앞에는 이상한 분위기의 어디로 통하는지 알 수 없는 작은 오솔길이 있다. 주위의 건물이라고는 애완동물 묘지의 관리인인 크렌들씨((Jud Crandall: 프레드 그윈 분)가 거주하고 있는 관리소 뿐이다. 고양이가 죽자 루이스는 크렌들과 함께 인디언의 묘지에 묻게 된다. 그런데 다음날 고양이가 살아 돌아온다. 하지만 고양이는 전과는 다른 행동을 하는데.",https://images.justwatch.com/poster/113227177/s276/pet-sematary.webp,"[('wavve', ['₩1,500', 'HD'])]"
유치원에 간 사나이,Kindergarten Cop,(1990),,"[('wavve', ['₩4,000', 'HD'])]","['68%', '6.2 (143k)']","['코미디 , 범죄 , 액션']",['1시간 51분'],['Ivan Reitman'],"['Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed', 'Linda Hunt', 'Richard Tyson', 'Carroll Baker', 'Joseph Cousins', 'Christian Cousins', 'Cathy Moriarty', 'Park Overall', 'Jayne Brook', 'Richard Portnow', 'Tom Kurlander', 'Alix Koromzay', 'Betty Lou Henson', 'Heidi Swedberg', 'Bob Nelson', 'Molly Cleator', 'Eugene Elman', 'Susan Burns', 'Tom Dugan', 'Roma', 'Jason Stuart', 'Kim Delgado', 'Ray Glanzmann', 'Ed Crick', 'Angela Bassett', 'Chi Muoi Lo', 'John Hammil', 'Steve Park', 'John Steinkamp', 'Charlie Holliday', 'Lee Forest', 'Judy Wix', 'Galen Yuen', 'Frankie Avina', 'Terry Golden', 'Lee Dupree', 'Michael Chapman', 'Trevor James Reeder', 'Travis Whitney Reeder', 'Jason Howard', 'Debra Casey', 'Peter Vasquez', 'Leo Lee', 'Kenneth Chapman', 'Rick Jones', 'Mimi J. Kauffman', 'Catherine Reitman', 'Tiffany Reaves', 'Jason Reitman', 'Anne Merrem', 'Arlene J. Phalon', 'Justin Page', 'Peter Rakow', 'Sarah Rose Karr', 'Marissa Rosen', 'Ben McCreary', 'Miko Hughes', 'Robert Cave', 'Ben Diskin', 'Tameka Runnels', 'Medha Garg', 'Brian Wagner', 'John Christian Graas', 'Jimmy Darrin Jackson III', 'Ian Baumer', 'Amy Wald', 'Tiffany Mataras', 'Krystle Mataras', 'James Chance', 'Adam Wylie', 'Nicole Nagorsky', 'Ross Malinger', 'Amber Reaves', 'Odette Annable', 'Tina Hart', 'Emily Ann Lloyd', 'Haley Hileman', 'Bethany Allyn', 'Zachary Marsh', 'Anthony Wong', 'Remone Bradley', 'Gary Rodriguez', 'Thomas Rosales Jr.', 'Bruno Van Zeebroeck']","LA 경찰의 강력계 형사 킴블(John Kimble : 아놀드 슈왈츠네거 분)은 마약업자 크리스프(Cullen Crisp : 리차드 타이슨 분)를 체포, 유치장에 보낸다. 경찰은 크리스프를 피해 유치원 교사였던 여형사 포비(Phoebe O'Hara : 파멜라 리드 분)와 킴블을 크리스프의 아들이 다닌다는 유치원에 파견한다. 그런데 포비가 병이 나는 바람에 범죄 세계에서도 거칠기로 소문난 킴블이 유치원 교사역을 맡게 된다. 처음엔 어쩔 줄 몰라 화내고 소리지르던 킴블이지만 아이들과 사귀면서 정을 느끼고, 경찰 학교의 수업방식으로 독특한 지도 방법을 개발, 원장 선생님(Miss Schlowski : 린다 헌트 분)으로부터도 인정 받는다. 게다가 동료 교사인 조이스(Joyce Paulmarie : 페네로프 앤 밀러 분)와도 특별한 감정을 느끼게 되는 데 그녀는 킴블의 학생인 도미니크(Dominic Paulmarie : 죠셉 카진스 분)의 엄마였다. 차츰 유치원 생활에 익숙해진 킴블이 조이스와 도미니크가 크리프스의 아내와 아들임을 확신할 무렵, 보석으로 풀려난 크리프스가 아들을 찾기 위해 유치원에 오는데...",https://images.justwatch.com/poster/22046763/s276/kindergarten-cop.webp,"[('wavve', ['₩1,200', 'HD'])]"
새,The Birds,(1963),,"[('Naver Store', ['₩500'])]","['83%', '7.7 (180k)']","['공포 , 드라마 , 로맨스 , Made in Europe']",['1시간 59분'],['Alfred Hitchcock'],"['Tippi Hedren', 'Rod Taylor', 'Jessica Tandy', 'Suzanne Pleshette', 'Veronica Cartwright', 'Ethel Griffies', 'Charles McGraw', 'Ruth McDevitt', 'Lonny Chapman', 'Joe Mantell', 'Doodles Weaver', 'Malcolm Atterbury', 'John McGovern', 'Karl Swenson', 'Richard Deacon', 'Elizabeth Wilson', 'Bill Quinn', 'Doreen Lang']","부유하고 제멋대로인 아가씨 멜라니 다니엘스(티피 헤드렌)는 샌프란시스코에 있는 한 새 가게에서 젊은 변호사 미치 브레너(로드 테일러)를 만난다. 미치에게 매력을 느낀 멜라니는 그냥 가버린 미치를 대신해 그의 어린 여동생 캐시에게 줄 생일선물로 잉꼬 한 쌍을 사서 그의 아파트를 찾아간다. 하지만 주말이면 보데가 만의 집으로 간다는 이웃의 말을 들고 멜라니는 다시 보데가 만으로 향한다. 잉꼬를 전한 뒤 모터보트를 빌려 타고 선착장에 가까이 갈 때 갈매기 한 마리가 날아와 돌연 그녀의 이마에 상처를 낸다. 멜라니는 그 지역 초등학교 교사인 애니 헤이워드(수잔 플레쉬트)와 함께 그날 밤을 보내게 되고 애니는 미치의 어머니에 대해 말해준다. 다음날 캐시의 야외 생일 파티장에서 갈매기들이 아이들을 공격하고 그날 저녁엔 수 백 마리의 참새 떼들이 벽난로 굴뚝으로 급습하는 일이 생긴다. 다음날 아침, 브레너 부인은 근처에 있는 농부의 집을 방문했다가 주인남자가 눈이 파 먹힌 채 죽어 있는 것을 발견한다. 그날 오후, 멜라니는 까마귀들이 학교운동장에 몰려드는 것을 발견하고는 애니와 아이들을 피신시키려고 한다. 그러나 그 와중에 애니는 죽고 만다. 새들은 마을의 상가를 공격하고 그 때문에 주유소가 불타게 된다. 이런 사건 속에 미치와 멜라니는 서로에게 사랑을 느끼게 된다. 그날 밤 멜라니와 미치는 집의 창문을 모두 판자로 봉쇄하지만 다락방에 가득 차 있던 새들이 멜라니를 공격하고 멜라니는 쇼크 상태에 빠진다. 결국 멜라니와 미치의 가족은 새들이 점령하고 있는 집을 몰래 빠져나온다.",https://images.justwatch.com/poster/13014804/s276/sae.webp,"[('Naver Store', ['₩1,200', 'HD'])]"
주정뱅이 천사,酔いどれ天使,(1948),"[('Plex', ['무료', 'HD'])]","[('Naver Store', ['₩1,000'])]","['83%', '7.7 (11k)']","['드라마 , 로맨스 , 스릴러 , 범죄']",['1시간 38분'],['Akira Kurosawa'],"['Takashi Shimura', 'Toshirō Mifune', 'Reizaburô Yamamoto', 'Michiyo Kogure', 'Chieko Nakakita', 'Noriko Sengoku', 'Shizuko Kasagi', 'Eitarō Shindō', 'Masao Shimizu', 'Taiji Tonoyama', 'Yoshiko Kuga', 'Chōko Iida', 'Isao Ubukata', 'Akira Tani', 'Sachio Sakai', 'Tateo Kawasaki', 'Mayuri Mokushô', 'Toshiko Kawakubo', 'Haruko Toyama', 'Yukie Nanbu', 'Sumire Shiroki', 'Yōko Sugi']","전후의 일본, 한차례의 세력 다툼이 있은 후, 두목이 된 젊은 야쿠자가 알콜 중독자인 의사에게 치료를 받는다. 의사는 그 젊은이에게 결핵이라는 진단을 내리고 치료할 것을 권하며 곧 두 사람 사이에는 묘한 우정이 싹튼다. 하지만 얼마 후, 감옥에서 출소한 이전의 두목이 자신의 자리를 되찾으려 하면서 그 젊은 야쿠자는 곤경에 처하게 되는데...",https://images.justwatch.com/poster/207580225/s276/jujeongbaengi-ceonsa.webp,
의적 로빈후드,Robin Hood: Prince of Thieves,(1991),"[('Watcha', ['정액제', 'HD'])]",,"['76%', '6.9 (186k)']","['드라마 , 로맨스 , 액션']",['2시간 23분'],['Kevin Reynolds'],"['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio', 'Alan Rickman', 'Christian Slater', 'Geraldine McEwan', 'Michael McShane', 'Brian Blessed', 'Michael Wincott', 'Nick Brimble', 'Soo Drouet', 'Daniel Peacock', 'Walter Sparrow', 'Daniel Newman', 'Harold Innocent', 'Jack Wild', 'Howard Lew Lewis', 'Derek Deadman', 'Andy Hockley', 'John Hallam', 'Pat Roach', 'John Tordoff', 'Michael Goldie', 'Liam Halligan', 'Marc Zuber', 'Merelina Kendall', 'Imogen Bain', 'Jimmy Gardner', 'Bobby Parr', 'Douglas Blackwell', 'Christopher Adamson', 'Richard Strange', 'Susannah Corbett', 'Sean Connery', 'Bryan Adams']","십자군 전쟁에 참가해 포로가 되었던 로빈은 5년만에 무어인 아짐을 같이 탈출시켜주는 조건으로 그의 안내를 받아 탈출에 성공하지만, 그의 죽마고우인 피터는 부상을 입어 동생 메리언을 보살펴 달라는 말을 남기고 죽고 만다. 한편 로빈의 아버지는 로빈의 생사여부를 백방으로 수소문을 하나 사법관 노팅엄과 주교의 간교한 술수에 휘말려 처형되고 일가는 멸문당한다. 사자왕 리차드가 없는 동안 동생 존의 폭정으로 농민들은 가난에 시달리고, 로빈의 고향 노팅검의 주장관은 로빈의 성으로 쳐들어가나 이내 쫓기는 신세가 되고, 셔우드 숲으로 도망을 친다.",https://images.justwatch.com/poster/9034051/s276/robin-hus.webp,
글렌게리 글렌 로스,Glengarry Glen Ross,(1992),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,500', 'HD'])]","['82%', '7.7 (101k)']","['드라마 , 스릴러 , 범죄']",['1시간 40분'],['James Foley'],"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin', 'Ed Harris', 'Kevin Spacey', 'Jonathan Pryce', 'Bruce Altman', 'Jude Ciccolella', 'Paul Butler', 'Lori Tan Chinn', 'Neal Jones', 'Barry Rohrssen', 'Leigh French', 'George Cheung', 'Murphy Dunne', 'Dana Lee', 'Julie Payne', 'Gregory Snegoff', 'Skipp Lynch']","레빈(잭 레몬 분)과 모스(에드 해리스 분), 에로노우(알란 아킨 분) 그리고 로마(알 파치노 분)는 시카고에 있는 부동산 중개업소의 중개업자들이다. 로마는 최근에 실적을 가장 많이 올리는 판매 1위의 판매원이지만 나머지들은 거의 성사시키지 못하고 곤경에 빠져있는 판매사원들이다. 특히 레빈은 왕년에는 글렌로스 농장을 멋지게 팔아치워 상품으로 자동차를 타기도 했으나 요즘은 계속 실패만 거듭하고 게다가 딸아이의 병원비 부담으로 경제적으로 최악의 상태이다. 또 본부에서 그들에게 주는 손님 명단도 재력도 없고, 여유도 없는 쓸모없는 손님명단만 주어진다. 그들 모두는 새로운 명단인 글렌게리를 받기를 희망하나 사무실장인 존(케빈 스페이시 분)은 그들의 소망을 일축하고 판매전략 회의를 개최한다. 그 회의에서 본부로부터 파견된 상관은 그들을 비난하고 이번에도 실적을 올리지 못하면 해고라고 선언한다. 레빈은 윌리암스에게 자신이 단지 슬럼프에 빠져 있을 뿐이므로 도와달라고 말하고 새 명단을 뇌물로 인수했으나 선불을 요구하여 실패로 끝난다. 한편, 모스와 자신들을 마구 취급하는 판매본부에 복수도 하고 돈도 벌기위해 글렌게리를 훔쳐내자고 제의하나 에로노우는 거절한다. 그날 밤 노마는 보기좋게 글렌게리 노원을 팔고 수표와 계약서를 사무실에 넘기고 퇴근하나, 그 다음날 아침 사무실에 도둑이 들었다는 것을 알고 아연실색한다. 경찰이 사무실로 들이 닥치고 하나씩 심문을 받는다.",https://images.justwatch.com/poster/31915880/s276/geulrengeri-geulren-roseu.webp,
아비정전,阿飛正傳,(1990),"[('Netflix', ['정액제', 'HD']), ('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['80%', '7.5 (20k)']","['드라마 , 로맨스 , 범죄']",['1시간 34분'],['Wong Kar-wai'],"['Leslie Cheung', 'Andy Lau', 'Maggie Cheung', 'Carina Lau', 'Rebecca Pan', 'Jacky Cheung', 'Tony Leung Chiu-wai', 'Maritoni Fernandez', 'Alicia Alonzo', 'Tita Muñoz', 'Anita Mui']","발 없는 새처럼 정착하지 못하고 날아다닐 수 밖에 없는 아비. 바람기 많은 그는 축구경기장 매표소에서 일하는 수리진을 매일 찾아온다. 수리진은 그를 경계하면서도 자연스럽게 끌리고 만다. 곧 이들은 사랑에 빠지고, 수리진은 아비와 결혼을 생각하지만 아비는 관심 밖의 일이다. 아비는 루루를 만나 또다른 사랑을 시작하고, 수리진과 멀어진다. 수리진은 아비의 집에 짐을 찾으러 갔다가 경찰관을 만나고 그에게서 위로를 받는다. 루루와의 사랑도 식어갈 때 쯤, 아비는 양어머니에게서 친어머니가 있는 곳을 알아내고 필리핀으로 가는데...",https://images.justwatch.com/poster/78945398/s276/days-of-being-wild.webp,
